subject,upperbody_label,trunk_lateral_angle,trunk_fb_angle,trunk_depth,trunk_length,shoulder_slope,shoulder_depth_diff,shoulder_width,head_tilt,head_offset_x,head_forward,head_shoulder_alignment,neck_trunk_angle,neck_trunk_angle_ear
1,TLB,-0.6324273939437601,10.524503167279477,0.07793974317610255,0.42672745106551124,-176.51425240338938,-0.007048510015010903,0.3091375094111904,157.1078776597722,0.05332857664743846,-0.8288410258630233,333.6221300631616,76.58088733320399,61.24519448053455
1,TLB,-3.722641058786333,10.153649182503349,0.07202243153005829,0.40938570673969066,-175.36504915277698,0.026293303817510598,0.3330332147626632,160.1323665085619,-0.008724755284885175,-0.9296876016096547,335.4974156613389,82.8497067244845,67.99433890866143
1,TLB,-2.97318614614349,10.536418062899108,0.07736971974372855,0.42365922691424557,-174.1522218945087,0.041127979755401604,0.3324297992441788,164.3125197068676,0.00707312509305248,-0.9121365636881813,338.4647416013763,78.13102622715039,63.37961641465867
1,TLB,-2.701877998118466,17.359733838518448,0.1315915128216147,0.4414816726808608,-173.19783085902745,0.060983709990978296,0.33426291637343675,166.5270183096485,-0.028012314830565797,-0.8489280647757491,339.724849168676,81.90133934932899,64.19175133309979
1,TLB,-2.5244205404024846,14.878298485337632,0.11257567349821332,0.4388333946741725,-172.59741956224798,0.06033205240964891,0.33347411366502006,166.26830433970477,-0.05018174585088026,-0.8695323876474431,338.8657239019527,80.30531476083213,63.40439183226668
1,TLB,-2.522750817064479,13.183442232345426,0.09966111881658431,0.43737883160059915,-173.1138510565142,0.04980134218931201,0.3314311194273327,165.39031019709773,-0.03910180998238152,-0.8961007908459737,338.5041612536119,80.31581773037648,65.00521449314716
1,TLB,-2.4879017508252352,14.558645449723185,0.1103790535125881,0.4394965720895065,-173.44180852721033,0.049038477241993006,0.330675650320692,164.92915648496594,-0.03184055994566154,-0.9008111402051213,338.37096501217627,82.4237849390791,67.0664796897964
1,TLB,-2.569553696410973,14.004039631170478,0.1061231049243361,0.43895834356053814,-173.9299415855666,0.041472464799880995,0.329234818690778,163.69560318995113,0.03516255598027795,-0.8857525564938562,337.6255447755177,81.89062637883622,66.34863476629873
1,TLB,-2.5655876178060852,12.580856620590717,0.0948650976642966,0.43594255086101247,-173.9888519837208,0.056108161807060214,0.33165314613828845,163.42795511706288,0.03757761922919076,-0.8777799895946555,337.41680710078367,80.65065770210802,65.85052230303452
1,TLB,-2.507722197174726,12.669389763524439,0.09509995277039705,0.43399855658975534,-174.5627293782142,0.05339553952217101,0.33082603359482765,159.92760579896816,0.021006343295401693,-0.8947453727944779,334.4903351771824,84.92486111380245,69.0496156050502
1,TLB,-2.459179358577267,12.539966403876756,0.09290397539734839,0.42826701516871857,-176.20561126044228,0.052003219723701505,0.32974664257654784,156.19860738226328,-0.05000176784222228,-0.8973907074880952,332.4042186427056,85.80106803162275,71.31024003093238
1,TLB,-2.3185913633052952,12.288840628478273,0.09108027140609914,0.42826293088960143,-176.31999515848548,0.05175294727087021,0.3283197128836424,156.4312412633619,-0.046079630138600176,-0.9045869077352553,332.75123642184735,86.35908877458367,71.6095286034432
1,TLB,-2.219753215875078,12.241550421117406,0.0922690397128462,0.4354745383691503,-173.1714631552122,0.041110791265964494,0.3268423590216341,153.98559209048653,0.12784178750714992,-0.8090271057657864,327.15705524569876,86.33375102857386,72.62879029806972
1,TLB,6.201839616887628,15.679120352331175,0.12142078578472133,0.4517435691367258,-172.337653055254,0.06409174203872679,0.33744674443495193,159.72516022490677,-0.04451880219506153,-0.8734710002779797,332.06281328016075,86.76051054134399,73.76262915516988
1,TLB,6.314548062027445,16.892611737769002,0.1300255730748176,0.4499723049974814,-172.4151893358579,0.0699720904231072,0.3376373153079501,160.76111600784378,-0.04291959350885123,-0.8762190441900549,333.17630534370164,90.60066278083285,76.61425315053495
1,TLB,6.32623648345864,16.944307313704325,0.1295103197917342,0.44686961607181935,-172.3677273346171,0.06945413351058959,0.33677276860695476,160.26108726729555,-0.0422562497713551,-0.8781145774164698,332.6288146019126,90.85797970246577,76.83544719083883
1,TLB,6.026611651014297,14.29233603334877,0.1081138467416167,0.44022534527707424,-172.28405212624043,0.06187374144792561,0.33288167478798864,160.4807274141925,-0.03595780095948047,-0.9267304041560136,332.7647795404329,89.32777491394866,76.28740666471175
1,TLB,5.556504116713171,14.502751113807573,0.10981554817408319,0.44045478067920807,-172.8003931170351,0.06402517855167389,0.33277258102133345,159.67709957294335,0.006792800408600638,-0.8944518426225544,332.4774926899785,88.53481454489737,75.32687161605895
1,TLB,5.254835773251775,16.01710433563036,0.12206239160150284,0.4441015594173577,-172.94806204572353,0.0672656893730164,0.3316620785706004,159.5143567696635,0.012694201512954351,-0.8975366560622876,332.462418815387,89.98931065131627,76.64891562421897
1,TLB,5.23161546605451,15.874656951074632,0.12104123178869484,0.44422210684873414,-173.00670230487262,0.06577716022729871,0.33126682639262195,159.47798638532515,0.012935462685095295,-0.9066207451086822,332.4846886901978,89.71208634712652,76.60191865380843
1,TLB,5.236846497093574,17.81642091293147,0.13671029452234504,0.44850999756797516,-172.96686572396084,0.06110189110040669,0.33037534264984497,159.41145118470294,0.012443398232538693,-0.9017774120484447,332.3783169086638,91.33241814161269,77.77899456842822
1,TLB,5.200204822893248,18.74838296295467,0.1442949073389172,0.4506037151969947,-172.95849003817142,0.0655070841312409,0.3305848327074379,159.4345273890359,0.01286991340671729,-0.9002694898682997,332.3930174272073,92.07466676626186,78.56376012794277
1,TLB,5.223377213090798,19.799624383212898,0.15306585002690545,0.45354776857153334,-172.93519259014496,0.0605655908584595,0.3294793796933216,159.57848422393974,0.011689742813012608,-0.9022728431746441,332.5136768140847,93.085566831478,79.2443361953929
1,TLB,5.21204608834205,20.457185862764888,0.15804794058203692,0.45385058730823047,-172.48912340608965,0.0656235218048096,0.3298254117558961,159.76230713176864,0.011801257660726821,-0.8950404447421202,332.25143053785825,93.34062486509008,79.38281588890234
