subject,upperbody_label,head_tilt,shoulder_slope,head_lateral_ratio,head_y_ratio,head_neck_vertical_angle,head_shoulder_alignment,upper_body_inclination,head_trunk_diff,trunk_forward_backward_angle,shoulder_z_asym,hip_shoulder_lateral,ear_height_asym,shoulder_width,shoulder_width_safe,head_depth_ratio_diag,head_center_source,head_center_z_reliable,upper_z_reliable,mid_shoulder_reliable,trunk_support_reliable
1,TLB,-2.9058968699156367,3.485747596610622,-0.01411916308181575,0.44327475482777823,5.314608301070896,-6.391644466526259,-1.8243519054585278,-1.0815449644571231,10.524478641061288,0.02280649437428009,-0.09748830055543381,-0.19622965371874007,0.3090571439580747,0.3090571439580747,-0.8065528240746055,mid_eye,True,True,True,True
1,TLB,2.8991274116422403,4.634950847223024,0.032610756279031955,0.3633202586601298,0.5461546367287387,-1.7358234355807838,5.128945347592619,-2.2298179359503933,10.15362445947088,-0.07919821279018927,-0.1764384233549274,-0.1744776219272059,0.3319936510078381,0.3319936510078381,-0.8946918547883072,mid_eye,True,True,True,True
1,TLB,8.052116652889964,5.847778105491301,0.02185918972111418,0.45304775833642547,3.092540966276816,2.204338547398663,2.7623145671245055,5.289802085765473,10.536393300642668,-0.12467715573462991,-0.193631959691861,-0.1360615917875972,0.32987582619337885,0.32987582619337885,-0.8743479434296728,mid_eye,True,True,True,True
1,TLB,11.64472149923023,6.802169140972552,0.059012886403274664,0.47830835998723253,0.30817493043135985,4.842552358257677,7.033468448445774,4.611253050784455,17.3596950766759,-0.1855566237111295,-0.21172106195701815,-0.11638774348091972,0.32865283260335887,0.32865283260335887,-0.8098020096589879,mid_eye,True,True,True,True
1,TLB,10.889275457926345,7.402580437752022,0.0834356276476948,0.4680917587223384,2.7118060955780603,3.4866950201743236,10.106553761150025,0.7827216967763206,14.878264930535646,-0.18395540483803027,-0.22294731021578915,-0.11895319309546254,0.3279710778966799,0.3279710778966799,-0.8340569756283293,mid_eye,True,True,True,True
1,TLB,9.528006451195694,6.886148943485807,0.06748570689005541,0.4485331976995001,1.6834844093720793,2.6418575077098865,8.556407906153908,0.9715985450417861,13.183412328271391,-0.15198713378401763,-0.2124753289763728,-0.12622878896897888,0.3276681449897105,0.3276681449897105,-0.8627744888559612,mid_eye,True,True,True,True
1,TLB,9.515056387380213,6.558191472789673,0.058674722873207456,0.4389081472904899,1.0774049720821082,2.9568649145905397,7.614295680474569,1.9007607069056576,14.558612650409625,-0.14995591798458327,-0.2045346955191291,-0.13017196551273116,0.3270192860746888,0.3270192860746888,-0.8662466561720125,mid_eye,True,True,True,True
1,TLB,7.8196303057984835,6.07005841443339,0.002816402247647185,0.4397874897838881,5.707133435947343,1.7495718913650933,0.3669150138833288,7.452715291915155,14.00400801511686,-0.12697765404247097,-0.1959013228934918,-0.13890826212153695,0.3266123091706314,0.3266123091706314,-0.8525387874597012,mid_eye,True,True,True,True
1,TLB,7.882955107555915,6.011148016279208,-0.0033304454785477926,0.43667671655781876,6.45167351261016,1.8718070912767075,-0.43697185137895644,8.319926958934872,12.580827965658425,-0.17165147904401962,-0.19413008740152632,-0.14000917887184275,0.3268725799482998,0.3268725799482998,-0.8565566558331255,mid_eye,True,True,True,True
1,TLB,3.250853483132289,5.437270621785814,0.010066250134194073,0.3714471658705523,3.8918783423135275,-2.1864171386535247,1.5523278112597154,1.6985256718725736,12.669360782241474,-0.1635449011095499,-0.1792723775287303,-0.1731436845938196,0.3264885616116165,0.3264885616116165,-0.8693317959028792,mid_eye,True,True,True,True
1,TLB,-1.1467874321297131,3.794388739557718,0.07502592763952418,0.34716943186546345,8.403484702575208,-4.941176171687431,12.19441468608386,-13.341202118213573,12.53993733091397,-0.15970514121261611,-0.13985532839110099,-0.2055160933944387,0.3256201981279325,0.3256201981279325,-0.8771580452005244,mid_eye,True,True,True,True
1,TLB,-0.3681671154542414,3.680004841514517,0.07374530000635376,0.3382050957125351,8.624116216924165,-4.048171956968758,12.300645491274878,-12.66881260672912,12.288812131148173,-0.15962531848027417,-0.1348838166914203,-0.20457198191618411,0.3242151543601501,0.3242151543601501,-0.8904470473256977,mid_eye,True,True,True,True
