subject,upperbody_label,head_y_ratio,head_neck_vertical_angle,trunk_forward_backward_angle
1,TLB,-1.016390616012468,0.1361077696881752,2.0529233052204923
1,TLB,0.5826993073405007,-1.0175625310761063,1.9797735316478255
1,TLB,-1.2118506861854128,-0.401494830840403,2.055273432828157
1,TLB,-1.7170627192015542,-1.075138873149626,3.401147376582324
1,TLB,-1.512730693903671,-0.49360907661258663,2.9116934015775993
1,TLB,-1.1215594734469059,-0.7423992028287658,2.577389272760727
1,TLB,-0.9290584652667011,-0.8890328698252614,2.848643035493201
1,TLB,-0.9466453151346654,0.2310745287859432,2.7392490863134014
1,TLB,-0.8844298506132786,0.4112070905423449,2.4585314793969424
1,TLB,0.4201611631320501,-0.20810471825101604,2.475994287714291
1,TLB,0.9057158432338275,0.8834244509416539,2.450465935522064
1,TLB,1.0850025662923946,0.9368036055762949,2.4009323117606165
1,TLB,1.307689274062931,3.5693182430049286,2.3916045875228136
1,TLB,0.2791615685252402,0.613536117532097,3.0696527146524075
1,TLB,1.0889162569593147,0.6517019464592597,3.3090093777774965
1,TLB,1.126249524552404,0.6301089804989816,3.3192060879008825
1,TLB,1.2285480185173592,0.39227452669672996,2.7961144735950776
1,TLB,1.0499105038991563,-0.9520912932331161,2.837618076235876
1,TLB,0.9841106895764551,-1.0399630147718102,3.136318697961571
1,TLB,0.8944981246183725,-1.0015088211080583,3.1082214807339876
1,TLB,0.8312717000606751,-1.0191501181863816,3.4912273140301173
1,TLB,0.7651771274375319,-1.0002005957328826,3.675053426115194
1,TLB,0.7574386302305836,-1.0008928186184067,3.882406975208644
1,TLB,0.6562570226456221,-0.9794705434685201,4.012108561701824
1,TLB,0.45980478752414844,-0.5832794194019799,2.3225383454021724
1,TLB,0.8634436900577713,-0.5101718687409122,2.5722868379503914
1,TLB,0.4987672247326269,0.45789689169581194,2.0612460898499574
1,TLB,0.08513528826759487,-0.3321492341215453,2.291839133558993
1,TLB,0.08808062678345219,-0.005951778581503172,3.0238271906821526
1,TLB,0.14703624027591733,-0.07939758771856152,2.6661766795078528
1,TLB,0.2635150081557047,-0.3085490779166423,2.4573311985515236
1,TLB,0.42197733650579106,-0.4731511720576306,2.2224800023193785
1,TLB,0.4685024100560675,-0.49001791459910576,2.0331085912281694
1,TLB,0.4888308540591979,-0.5812229669052911,2.1216623854500316
1,TLB,0.2317589383752916,1.2913689933842714,2.513599352075695
1,TLB,1.120499852007213,0.9913240806191538,2.904883774065243
1,TLB,1.6935352130106596,1.6362254315813736,3.2940788682861695
1,TLB,1.8436937842708723,1.6063756010337684,3.338763886806893
1,TLB,0.10032504430532385,1.8134298821876427,4.054065558567326
1,TLB,-0.16999530396900497,1.9348262442121447,4.15596150727335
1,TLB,-0.41274501084255455,2.6750173873766356,4.023352229944791
1,TLB,-5.094691973806566,-0.7148927544886605,2.089970262374518
1,TLB,-0.5203241773630285,-0.9865899556053017,2.107099918795311
1,TLB,-0.7092450585258181,-0.7774018211017895,2.8152769032819926
1,TLB,-0.7091923824221458,-0.08448235415583014,2.0663822147968323
1,TLB,-1.265295697083526,-0.822328597467765,2.524074662783451
1,TLB,-1.8619999687503597,-0.8686916020283139,4.065607986319588
1,TLB,-1.8503555538858607,-1.0954135852077778,2.791214185134577
1,TLB,-1.5608344105385707,-0.939125058348602,2.664574712266123
1,TLB,-1.7092872602158604,-0.21810547286767676,2.510236275038762
1,TLB,-1.7110371280630243,-0.2032452279972292,2.93098023755548
1,TLB,-1.6736533985004198,-0.16193528568594656,2.838742990693854
1,TLB,-1.662636744612268,-0.14769933891803397,2.712551809255669
1,TLB,-1.60896546094895,-0.15848613631840874,2.008798020239833
1,TLF,8.1457795909571,17.86724692167396,-15.08848022500851
1,TLF,7.849666223484912,20.191736800980912,-15.334230183290927
1,TLF,4.429663469154221,31.884685182662874,-15.449130210345253
1,TLF,1.638868974567298,36.10061614280122,-15.566288207873386
1,TLF,1.1320710745392504,35.641016960183016,-15.965436438638305
1,TLF,1.1210631416643757,36.32224565949285,-15.944000056688798
1,TLF,1.314689400857748,37.206261533902165,-16.07315929425352
1,TLF,1.9468596041956299,38.05608165624773,-15.841049767444993
1,TLF,1.4419871303657783,39.33701584861788,-16.16064028139255
1,TLF,1.1689935191904688,41.31998688815949,-15.788546259435492
1,TLF,1.331404785573611,41.47376371880455,-16.164185764222154
1,TLF,1.4449561102947284,42.13455290888245,-16.53207359433183
1,TLF,1.5543321328980564,42.13424893839118,-16.443567972705814
1,TLF,1.3847779064942511,41.960535667885324,-16.402013924857187
1,TLF,1.578171471920452,42.050829694730105,-16.31805055702522
1,TLF,1.7434362370747047,41.71750826728809,-16.118051519746132
1,TLF,1.6706520718427975,41.618800738975,-16.07581297055606
1,TLF,1.2227341761202426,41.52426903765976,-16.074551496336156
1,TLF,1.0213918690697077,41.59017510599919,-15.935142461739272
1,TLF,0.9437877021787922,41.141294866300505,-15.910368457096554
1,TLF,0.9730742298773332,41.78123789375587,-15.67598648042365
1,TLF,2.416190227926712,41.56016773497974,-15.386655334536968
1,TLF,5.496244131748775,36.47699977927927,-16.09079779747701
1,TLF,8.75908641700688,11.000980003980775,-15.820974932591465
1,TLF,8.064720655763635,2.916519924985274,-15.883487923738905
1,TLF,4.505066095227489,41.78853586324714,-15.187320445149902
1,TLF,4.050783848810161,35.62341784596362,-15.164625537845678
1,TLF,6.358678493140874,31.67293074858304,-15.231551709811603
1,TLF,6.55282501499906,32.940360789595736,-15.252995344859485
1,TLF,2.6619254877899365,39.981074862761346,-15.279387578721522
1,TLF,-1.6797240874912345,-0.3121683538127914,-2.057320804705222
1,TLF,-1.5424122691080333,-0.3425825042283516,-2.148786853759594
1,TLF,-1.3357327781468287,-0.3939739733549047,-2.0487394486713066
1,TLF,-1.1734625895924866,-0.7172090381925462,-2.211040492604799
1,TLF,-1.0694984860761891,0.9218841274026844,-2.145041030301848
1,TLF,-1.125177345972992,0.6271535270766677,-2.423090308421702
1,TLF,-1.1490743151582872,0.4141641658883026,-2.3904356117919563
1,TLF,-0.4153220773068744,0.6119190630574229,-2.1886208114189305
1,TLF,-0.661503637058346,0.05316623999075244,-2.193110810837111
1,TLF,-0.6775723011770185,-0.8852707126713325,-2.2849415539499183
1,TLF,-0.8202499076835357,-0.16829206246090422,-2.3337052442120294
1,TLF,9.577483866247801,8.043143622915641,-13.002506380202739
1,TLF,9.17891712678092,9.920401316908045,-13.357165712574231
1,TLF,9.257799336022627,9.240948725525215,-14.082518202210782
1,TLF,4.441446854918786,35.93785999220797,-13.91699880327626
1,TLF,3.266632543942898,37.8239064953178,-14.852651361396198
1,TLF,2.525561188153661,37.11253237765057,-14.657985339501899
